userId,movieId,rating,timestamp
438,316,3.5,1105664330
292,2000,4.5,1140269605
409,2706,4.0,968978055
606,5434,3.5,1177539315
28,64983,2.5,1242288321
606,7034,3.0,1176332069
448,3688,5.0,1019128536
305,105355,2.5,1460564044
57,1030,3.0,969753973
202,2989,4.0,974918973
291,58559,5.0,1453051722
202,1219,4.0,974924662
469,3361,3.0,965425390
64,8368,3.5,1161520296
23,1245,3.5,1107162670
182,173,3.5,1055150640
219,33679,3.5,1194932211
600,1517,3.0,1237711274
298,1197,3.0,1447584558
91,6203,1.5,1112717738
541,318,4.0,835642969
307,1721,2.0,1186161016
217,248,3.0,955945151
28,1704,3.0,1235806527
356,5377,3.5,1229140027
45,3248,2.0,950740361
108,5812,5.0,1042839796
305,5418,3.5,1518197933
599,2334,2.5,1498515358
524,586,3.0,851609037
561,1230,4.0,1491094939
81,592,3.0,845299424
105,59387,3.5,1446572164
610,113345,2.5,1479543342
298,2724,0.5,1452959578
489,98809,4.0,1355780780
567,108928,0.5,1525289675
226,8528,4.0,1096419718
18,69122,3.0,1455529969
199,1217,5.0,940381382
314,356,4.0,834241426
274,7930,4.0,1172024262
307,1580,2.0,1186161017
15,3535,3.5,1510572486
221,2,3.5,1111177796
288,1222,3.0,976138178
91,1092,4.5,1112712189
385,1225,3.0,865026316
129,33615,3.0,1167378219
377,1244,4.0,1340341924
415,1198,4.0,1382470692
387,3476,4.0,1131772204
425,1222,4.0,1085490371
63,91500,0.5,1443200265
483,1676,3.0,1178294131
219,4226,5.0,1194685887
590,26614,3.5,1258427557
122,87306,4.5,1461562175
469,838,3.0,965425513
438,2278,4.0,1105667258
328,73017,3.0,1494207191
562,1061,3.5,1368890740
387,6533,4.5,1094877835
566,1027,2.0,849008838
603,2530,4.0,963177159
510,1304,3.0,1141158793
610,114044,3.5,1493848721
608,2616,3.5,1117505086
42,193,3.0,996256573
448,85399,1.0,1338652134
274,480,3.5,1171410132
57,539,3.0,965797340
606,1306,3.5,1171327916
